Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20.00000000000002,0.01355462453625535,-54.33201429363413,-93.86971543230237
20.54701536358607,0.01391459746203459,-54.03922182918162,-93.01828917049247
21.10899201757208,0.01332598681703936,-53.73152103976793,-93.91255395037668
21.68633916474344,0.01410832292509236,-53.51841418998436,-92.60503830467758
22.27947719989607,0.01395280449577141,-53.75913877312325,-92.58332779467877
22.88883801594649,0.01383661787997547,-53.16118348495245,-92.33085862877634
23.51486531841424,0.01397491644246635,-52.91305649341773,-92.351426301255
24.15801494850571,0.01402193475823805,-52.70769621293382,-92.19254538171725
24.81875521503442,0.01380229409440078,-52.59474683882118,-93.39391430355806
25.49756723541968,0.01329339368793608,-52.20380804191641,-94.07359961339296
26.19494528601182,0.01369281451159255,-51.99490350488196,-92.57589847545165
26.91139716199904,0.01376967020554144,-51.80189018259429,-92.76147829286883
27.64744454715802,0.0136814997119511,-51.58152798523211,-92.47229519795781
28.40362339371746,0.01377205906280291,-51.42101882293809,-92.25573394763801
29.18048431261125,0.01390583848935764,-51.04122740963802,-92.17330244717057
29.97859297440525,0.01412572737367771,-50.81817449695257,-92.20416842577009
30.79853052118987,0.01383943273787738,-50.55807174152255,-92.70849870383577
31.64089398973811,0.01379524395643119,-50.33104352497523,-92.22486036023145
32.50629674623733,0.01573885484180645,-50.30230755411102,-88.61044127527146
33.39536893291127,0.01344775677635486,-50.43420079299801,-93.06816073020481
34.30875792685762,0.01404962126109689,-49.5727129834065,-92.17017729502794
35.24712881143491,0.01366366556785147,-49.43041461056709,-92.43589737474821
36.21116486054247,0.01392638428172632,-49.19894422680439,-91.94423809758095
37.20156803614568,0.01387040109109133,-49.00887829980569,-92.16468089835803
38.21905949940885,0.01386104846205898,-48.78372827414262,-92.08663949798486
39.26438013580815,0.01371788671083852,-48.47760464911837,-91.62838684050702
40.33829109460665,0.01377088222240094,-48.25674833191862,-91.85929050405707
41.44157434308446,0.01284777016805373,-48.03726986389559,-92.14437935618956
42.5750332359275,0.01329059058891064,-47.89329918752973,-92.44513150225465
43.73949310018945,0.01187308979316337,-47.42761684349466,-89.62783577110321
44.93580183625294,0.009644393722730835,-47.49655824392818,-89.53610239935763
46.16483053522736,0.01653858017452633,-46.56397270113246,-91.57805412497325
47.42747411323315,0.01272237546706741,-46.46117933905959,-89.32495103819507
48.72465196303406,0.01893410967919264,-46.3580614761657,-94.34155483866083
50.0573086234922,0.01759982497560849,-45.87620583469185,-92.15206142225642
51.42641446733315,0.01667201723101878,-46.07482961012678,-94.65969551310997
52.83296640772191,0.01684360938034177,-45.43516345778269,-91.79947173361886
54.27798862416438,0.01824014211317283,-45.42378222197384,-94.73156731573771
55.76253330826273,0.01009816734010653,-45.29285363930546,-88.65232931987376
57.28768142986765,0.01113212916670757,-45.03669112726901,-89.44185261036012
58.8545435241857,0.01592275459388229,-44.81571669202992,-93.09961447021884
60.46426050041437,0.01474583481980879,-44.49903916619515,-91.86593412279964
62.11800447249416,0.01434380300519844,-44.43258470124177,-92.05894142484431
63.81697961258223,0.01339044592482722,-44.14439127301164,-91.74100359876155
65.56242302786924,0.01377319885451705,-43.93409618422081,-91.61380399913395
67.35560566137785,0.01405365843775713,-43.649798933479,-91.33084757614245
69.19783321739872,0.01363369498014275,-43.39630993611994,-91.76454991326756
71.09044711223783,0.01377936816793639,-43.14107669436038,-91.51380623642336
73.03482545096762,0.01369520437191917,-42.92667149190905,-91.69844737098086
75.03238403089286,0.01389694374955924,-42.68602505169231,-91.67955092699849
77.08457737246221,0.01365455293702782,-42.41804385827449,-91.73117685698107
79.19289977837593,0.01402734620563766,-42.19869363567576,-91.44861158732438
81.35888642166103,0.01380520393042357,-42.01614620101122,-91.62450413251027
83.58411446350608,0.01392209216188235,-41.66704387315324,-90.7787118959432
85.87020420166974,0.01328350158247864,-41.59803235980657,-90.80052156530962
88.21882025029896,0.01505485458723098,-40.84408905976052,-91.32810267281985
90.63167275201644,0.01419984946973127,-40.58191456843707,-90.09386719543194
93.11051862315927,0.01303967317614605,-41.0080105293098,-94.04699567085856
95.65716283307593,0.01294346631164672,-40.60386265478351,-95.07398688898007
98.27345971841316,0.0137332470893991,-40.06380764902701,-88.50151001433329
100.9613143333495,0.0121945113528793,-39.99601588038719,-89.321182348755
103.7226838367587,0.01488183531523971,-39.5193985439286,-93.82338907828733
106.5595789173129,0.01544144825833316,-39.12931307942491,-92.81268822381492
109.4740652575644,0.01196000405771391,-39.46739438894006,-91.80982988177463
112.4682650380699,0.01440396593793264,-38.90352980882501,-93.09173458936392
115.5443584826545,0.01225199672949298,-38.82290291104859,-91.84292950281448
118.7045854459399,0.01448240082219155,-38.33257889614982,-92.14858332972057
121.951247044292,0.01370096306245094,-38.11481572766142,-92.23353826019678
125.2867073313772,0.01362389094455345,-37.85399697193129,-91.52244926216879
128.7133950195459,0.01405946168644075,-37.62308805057393,-91.47900913935345
132.2338052482964,0.01305599214057753,-37.32771316245636,-92.02504868024286
135.8505014011097,0.01403729185111293,-37.00731346358382,-91.56285656096482
139.5661169719734,0.01269098019674457,-36.84918107728191,-92.09634091299532
143.3833574829593,0.01239202326877155,-36.51199202633118,-92.33512545273402
147.3050024542458,0.01463474491617009,-36.30768885700111,-91.512915816115
151.3339074280234,0.0142532539846872,-36.03051269260223,-91.54754451280584
155.4730060477553,0.01353554032487274,-35.64350042070871,-91.87051425499554
159.7253121943068,0.01411760295911221,-35.33715671409682,-91.71492677581215
164.0939221805,0.01315811330497202,-35.18501997630212,-92.1177686227113
